ID,DATE,BOROUGH,LAT,LON,NUM_CASUALTIES,NUM_FATAL,NUM_SERIOUS,NUM_SLIGHT
531526,2011-06-04T12:08:00Z,Bromley,51.347649,0.036312,1,0,0,1
531824,2011-11-08T19:00:00Z,Bromley,51.347649,0.036312,1,0,0,1
207976,2013-07-20T14:49:00Z,Bromley,51.392407,0.001357,1,0,0,1
579116,2013-07-20T14:49:00Z,Bromley,51.392407,0.001357,1,0,0,1
354749,2019-05-20T19:11:00Z,Bromley,51.439642,0.033984,1,0,0,1
725889,2019-05-20T19:11:00Z,Bromley,51.439642,0.033984,1,0,0,1
135598,2010-01-01T15:27:00Z,Bromley,51.374982,-0.010466,1,0,1,0
506738,2010-01-01T15:27:00Z,Bromley,51.374982,-0.010466,1,0,1,0
65976,2007-04-10T19:35:00Z,Bromley,51.362194,0.027333,1,0,0,1
437116,2007-04-10T19:35:00Z,Bromley,51.362194,0.027333,1,0,0,1
629714,2015-08-22T09:25:00Z,Bromley,51.362194,0.027333,1,0,0,1
258574,2015-08-22T09:25:00Z,Bromley,51.362194,0.027333,1,0,0,1
136015,2010-09-08T19:11:00Z,Bromley,51.412266,-0.067376,1,0,0,1
507155,2010-09-08T19:11:00Z,Bromley,51.412266,-0.067376,1,0,0,1
232954,2014-08-01T08:50:00Z,Bromley,51.396238,0.024381,1,0,0,1
604094,2014-08-01T08:50:00Z,Bromley,51.396238,0.024381,1,0,0,1
232557,2014-01-11T08:54:00Z,Bromley,51.399032,-0.018048,1,0,0,1
603697,2014-01-11T08:54:00Z,Bromley,51.399032,-0.018048,1,0,0,1
335986,2018-01-09T20:00:00Z,Bromley,51.399032,-0.018048,1,0,1,0
707126,2018-01-09T20:00:00Z,Bromley,51.399032,-0.018048,1,0,1,0
65651,2007-08-27T13:46:00Z,Bromley,51.373096,0.097645,1,0,0,1
436791,2007-08-27T13:46:00Z,Bromley,51.373096,0.097645,1,0,0,1
232798,2014-05-04T09:10:00Z,Bromley,51.373096,0.097645,1,0,0,1
603938,2014-05-04T09:10:00Z,Bromley,51.373096,0.097645,1,0,0,1
160402,2011-06-01T12:30:00Z,Bromley,51.372059,0.090269,1,0,0,1
531542,2011-06-01T12:30:00Z,Bromley,51.372059,0.090269,1,0,0,1
233171,2014-11-11T17:23:00Z,Bromley,51.417177,-0.043583,1,0,0,1
604311,2014-11-11T17:23:00Z,Bromley,51.417177,-0.043583,1,0,0,1
370835,2019-12-21T19:20:00Z,Bromley,51.395792,0.02521,1,0,0,1
